curriculum_score,teaching_quality,student_faculty_ratio,phd_faculty_percentage,pass_percentage,student_feedback_score,research_publications,research_grants,patents,infrastructure_score,library_score,it_facilities_score,placement_percentage,higher_studies_progression,governance_score,faculty_development_programs,green_campus_score,inclusivity_score,community_extension_score,naac_cgpa
3.0618101782710436,3.0904532804161633,19.341020461667462,59.98021462374321,90.54994088464896,2.638556258913845,100.0,36.11022798342315,10.0,3.4953768393843916,3.8054485922086307,3.2131730477825693,93.61663280539331,58.65610555503561,3.7678330831961304,53.0,3.7080585092760887,3.357864720028329,3.926471692493026,2.025977929562143
3.9260714596148745,3.210153489062532,18.322802405785083,74.80480635075565,71.4579198459549,2.59113059438203,175.0,12.958968435366147,1.0,2.8015018386419492,2.9239702100428517,2.523917131506079,79.64185931866149,42.618307517205025,3.650165251759301,38.0,3.943730937638958,3.1180897309949405,2.7632576516406377,2.0682622708577116
3.5979909127171075,3.7818210898032705,14.403847812571502,63.76000683937999,77.13238930294602,3.406287926115496,170.0,2.8536066803526716,5.0,3.171583824582317,3.6916944431017598,2.516264024398708,82.55918266810669,66.48395337983462,3.6413360965545882,37.0,3.264055740434594,2.9859210398093006,3.0454414328485484,2.166561984526975
3.397987726295555,3.010006579089838,25.181666752537197,34.99815498670778,88.21482229002363,3.9491744837391325,15.0,2.7721123076115517,17.0,3.5564986478345535,2.5744922233353535,3.603213999451789,77.27517280071388,63.80497828917773,3.648960795863608,48.0,3.2938559997191614,3.036686034738391,2.2001850751000585,2.2178482077942685
2.7340279606636546,3.804474527218257,21.915604012715722,41.13481420701332,81.8731270583568,3.254081963432086,150.0,0.5656542886656457,13.0,2.995925597622385,3.126493874108366,3.712312557009111,86.75110455192637,31.664536365750187,3.8861497212105194,32.0,3.679693312859243,3.2043066332156895,3.0546330424159365,1.9772550803359175
2.733991780504304,2.6322016464650373,31.64252480810009,43.15969104185515,90.84998635222128,2.5772728389089576,214.0,1.9013003269668816,11.0,2.7899532846781065,2.6046778944740065,2.8061908191303733,61.072015245077885,42.98677173581217,3.765580592377864,48.0,3.9984825470586873,3.1276211626582873,3.8047066671690724,1.7827763203831366
2.5871254182522994,3.665197655812946,10.802739512051456,45.47185521869069,98.64227654280009,2.831827984116184,29.0,42.93303373738772,8.0,3.3097913844513713,2.9407534581368906,3.390815597407399,72.80236386580039,27.757712610345862,3.0828613173350683,33.0,2.963702962357266,3.5594859840244233,3.75529790867781,1.8093638421783131
3.799264218662403,3.7713214495821044,26.096698188878158,63.92420351703026,69.07913407003191,2.867189359623656,109.0,34.862145888987335,12.0,2.9104722305472945,3.9255474168229774,2.824011697708017,80.23953926405541,10.526306291817724,3.206953720802588,58.0,3.5249518969289557,3.5390705464584693,3.1558802454002377,2.0160812084012534
,,,,,,,,,,,,,,,,,,,2.0145859536990964
3.5621088666940683,3.1455197985583006,28.987164229707677,42.18960230185253,73.062045447124,2.565405075379319,54.0,1.0156364060853296,0.0,2.907601601989067,3.6333992787754843,3.1307758212283794,86.36013318335793,55.006625374538885,3.213399556809251,28.0,3.7859865989740498,3.5644474954558154,2.728480764914867,1.8984859982621298
2.530876741443704,2.7482496619954833,32.15184917738813,34.053290607341225,79.50668545926493,3.8573390507468743,236.0,42.45007755376597,7.0,3.8598688599177704,2.7017295739915594,3.734132220385958,95.95525231768653,48.05020009133141,2.9454055912091035,52.0,3.4742291151996354,2.8330131920742208,2.3850553900962614,2.0450396581627337
3.9548647782429915,3.5599061934913268,28.22584357073735,40.28593226848308,66.1501954028299,3.273345917082243,61.0,34.802816463312176,8.0,3.01585301898481,3.368028856048725,3.9228092588632473,79.82802220825626,65.60912740355802,3.7917251177737152,20.0,3.1873003335187216,3.129733547072938,2.8432617390422923,2.2367171671557187
3.7486639612006325,3.303021652092485,33.195251541192405,89.0628787571162,69.75675838024446,3.5063961894311637,155.0,32.017121573824646,16.0,3.861175603847014,3.083253139684272,3.333177933084692,44.480245256428454,51.14645201913959,3.705173829057633,17.0,2.966229638453038,2.83368495202138,3.6192645073209064,2.22811787715482
2.818508666017414,3.4529850200624814,18.316414995522287,58.11281698748834,76.19220511671149,2.6007592553425134,290.0,17.826606280959194,12.0,2.919222712027917,3.601270231866617,3.851001276826306,76.61419010020191,18.47543323876561,3.0847891004160632,30.0,3.953765917415377,2.6784555834621973,3.413722692478819,1.8124751472335097
